   IMPCYCLOHYDROLASE-RXN hits 30.5 # IMPCYCLOHYDROLASE-RXN
   RXN0-742 hits 17.5 # RXN0-742
   RXN0-743 hits 30.5 # RXN0-743
   ADENYLOSUCCINATE-SYNTHASE-RXN hits 30.5 # ADENYLOSUCCINATE-SYNTHASE-RXN
   IMP-DEHYDROG-RXN hits 30.5 # IMP-DEHYDROG-RXN
   PRPPAMIDOTRANS-RXN hits 46.5 # PRPPAMIDOTRANS-RXN
   GLYRIBONUCSYN-RXN hits 30.5 # GLYRIBONUCSYN-RXN
   FGAMSYN-RXN hits 53.5 # FGAMSYN-RXN
   AIRS-RXN hits 30.5 # AIRS-RXN
path 43 fam0 4 fam-found 4 # DTDPRHAMSYN-PWY
   DTDPGLUCOSEPP-RXN hits 25.5 # DTDPGLUCOSEPP-RXN
   DTDPGLUCDEHYDRAT-RXN hits 19.0 # DTDPGLUCDEHYDRAT-RXN
   DTDPDEHYDRHAMEPIM-RXN hits 24.0 # DTDPDEHYDRHAMEPIM-RXN
   DTDPDEHYRHAMREDUCT-RXN hits 19.0 # DTDPDEHYRHAMREDUCT-RXN
path 47 fam0 7 fam-found 4 # FAO-PWY
   ENOYL-COA-DELTA-ISOM-RXN hits 5.0 # ENOYL-COA-DELTA-ISOM-RXN
   ENOYL-COA-HYDRAT-RXN hits 58.0 # ENOYL-COA-HYDRAT-RXN
   OHACYL-COA-DEHYDROG-RXN hits 16.5 # OHACYL-COA-DEHYDROG-RXN
   KETOACYLCOATHIOL-RXN hits 24.5 # KETOACYLCOATHIOL-RXN
path 48 fam0 5 fam-found 3 # FASYN-ELONG-PWY
   3-OXOACYL-ACP-REDUCT-RXN hits 104.5 # 3-OXOACYL-ACP-REDUCT-RXN
   3-HYDROXYDECANOYL-ACP-DEHYDR-RXN hits 35.5 # 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
   ENOYL-ACP-REDUCT-NADH-RXN hits 40.5 # ENOYL-ACP-REDUCT-NADH-RXN
path 49 fam0 6 fam-found 3 # FASYN-INITIAL-PWY
   RXN0-5055 hits 50.0 # RXN0-5055
   MALONYL-COA-ACP-TRANSACYL-RXN hits 30.5 # MALONYL-COA-ACP-TRANSACYL-RXN
   2.3.1.180-RXN hits 44.5 # 2.3.1.180-RXN
path 50 fam0 16 fam-found 11 # FERMENTATION-PWY
   PEPCARBOX-RXN hits 12.5 # PEPCARBOX-RXN
   PEPDEPHOS-RXN hits 30.5 # PEPDEPHOS-RXN
   PYRUVFORMLY-RXN hits 11.0 # PYRUVFORMLY-RXN
   PHOSACETYLTRANS-RXN hits 19.0 # PHOSACETYLTRANS-RXN
   ACETALD-DEHYDROG-RXN hits 17.5 # ACETALD-DEHYDROG-RXN
   ALCOHOL-DEHYDROG-RXN hits 42.5 # ALCOHOL-DEHYDROG-RXN
   DLACTDEHYDROGNAD-RXN hits 6.5 # DLACTDEHYDROGNAD-RXN
   ISOCITDEH-RXN hits 16.5 # ISOCITDEH-RXN
   MALATE-DEH-RXN hits 27.5 # MALATE-DEH-RXN
   FUMHYDR-RXN hits 29.5 # FUMHYDR-RXN
   R601-RXN hits 39.0 # R601-RXN
path 51 fam0 12 fam-found 10 # FOLSYN-PWY
   METHENYLTHFCYCLOHYDRO-RXN hits 30.5 # METHENYLTHFCYCLOHYDRO-RXN
   GART-RXN hits 43.5 # GART-RXN
   PABASYN-RXN hits 19.0 # PABASYN-RXN
   ADCLY-RXN hits 17.5 # ADCLY-RXN
   GTP-CYCLOHYDRO-I-RXN hits 30.5 # GTP-CYCLOHYDRO-I-RXN
   H2NEOPTERINALDOL-RXN hits 30.5 # H2NEOPTERINALDOL-RXN
   H2PTERIDINEPYROPHOSPHOKIN-RXN hits 43.5 # H2PTERIDINEPYROPHOSPHOKIN-RXN
   H2PTEROATESYNTH-RXN hits 30.5 # H2PTEROATESYNTH-RXN
   DIHYDROFOLATESYNTH-RXN hits 43.0 # DIHYDROFOLATESYNTH-RXN
   DIHYDROFOLATEREDUCT-RXN hits 30.0 # DIHYDROFOLATEREDUCT-RXN
path 52 fam0 12 fam-found 5 # FUC-RHAMCAT-PWY
   FUCISOM-RXN hits 5.0 # FUCISOM-RXN
   FUCULOKIN-RXN hits 5.0 # FUCULOKIN-RXN
   FUCPALDOL-RXN hits 11.5 # FUCPALDOL-RXN
   RHAMNULOKIN-RXN hits 5.0 # RHAMNULOKIN-RXN
   LACTALDREDUCT-RXN hits 5.0 # LACTALDREDUCT-RXN
path 53 fam0 4 fam-found 3 # FUCCAT-PWY
   FUCISOM-RXN hits 5.0 # FUCISOM-RXN
   FUCULOKIN-RXN hits 5.0 # FUCULOKIN-RXN
   FUCPALDOL-RXN hits 11.5 # FUCPALDOL-RXN
path 55 fam0 4 fam-found 3 # GALACTARDEG-PWY
   GALACTARDEHYDRA-RXN hits 8.0 # GALACTARDEHYDRA-RXN
   TSA-REDUCT-RXN hits 11.5 # TSA-REDUCT-RXN
   GKI-RXN hits 25.5 # GKI-RXN
path 57 fam0 5 fam-found 3 # GALACTUROCAT-PWY
   GALACTUROISOM-RXN hits 8.0 # GALACTUROISOM-RXN
   ALTRO-OXIDOREDUCT-RXN hits 8.0 # ALTRO-OXIDOREDUCT-RXN
   ALTRODEHYDRAT-RXN hits 13.0 # ALTRODEHYDRAT-RXN
path 58 fam0 5 fam-found 1 # GALLATE-DEGRADATION-I-PWY
   RXN-2464 hits 6.5 # RXN-2464
path 60 fam0 5 fam-found 4 # GLCMANNANAUT-PWY
   NAG6PDEACET-RXN hits 6.0 # NAG6PDEACET-RXN
   GLUCOSAMINE-6-P-DEAMIN-RXN hits 6.0 # GLUCOSAMINE-6-P-DEAMIN-RXN
   ACNEULY-RXN hits 6.0 # ACNEULY-RXN
   NANE-RXN hits 6.0 # NANE-RXN
path 61 fam0 4 fam-found 2 # GLUCARDEG-PWY
   TSA-REDUCT-RXN hits 11.5 # TSA-REDUCT-RXN
   GKI-RXN hits 25.5 # GKI-RXN
path 62 fam0 4 fam-found 3 # GLUCARGALACTSUPER-PWY
   GALACTARDEHYDRA-RXN hits 8.0 # GALACTARDEHYDRA-RXN
   TSA-REDUCT-RXN hits 11.5 # TSA-REDUCT-RXN
   GKI-RXN hits 25.5 # GKI-RXN
path 63 fam0 13 fam-found 13 # GLUCONEO-PWY
   1.1.1.39-RXN hits 19.5 # 1.1.1.39-RXN
   MALIC-NADP-RXN hits 18.0 # MALIC-NADP-RXN
   PEPSYNTH-RXN hits 16.5 # PEPSYNTH-RXN
   MALATE-DEH-RXN hits 27.5 # MALATE-DEH-RXN
   PEPCARBOXYKIN-RXN hits 24.5 # PEPCARBOXYKIN-RXN
   2PGADEHYDRAT-RXN hits 30.5 # 2PGADEHYDRAT-RXN
   3PGAREARR-RXN hits 38.5 # 3PGAREARR-RXN
   PHOSGLYPHOS-RXN hits 30.5 # PHOSGLYPHOS-RXN
   GAPOXNPHOSPHN-RXN hits 30.5 # GAPOXNPHOSPHN-RXN
   F16ALDOLASE-RXN hits 37.0 # F16ALDOLASE-RXN
   TRIOSEPISOMERIZATION-RXN hits 35.5 # TRIOSEPISOMERIZATION-RXN
